county,year,cultivated_area,harvested_area,wheat,rye,barley,oat,corn,triticale,peas_beans,beans,potato,sugar_beet,fodder_beet,rapeseed,sunflower,soy_beans,cabbage,cauliflower_broccoli,tomatoes,cucumber,watermelons,eggplant,pepper,carrot,garlic,onion,green_peas,green_beans,green_fodder,perennial_fodder,grapes,wine_grapes,table_grapes,apple,pear,plum,apricot,cherry,peach,nuts
SIBIU,2020,62786,62723,21234,137,3322,1019,130656,5167,50,47,63710,26241,13099,3686,1775,2493,16572,377,3898,2488,0,600,1173,3867,474,4796,169,476,72502,186468,261,261,0,8826,366,4164,14,355,52,245
BACAU,2020,162272,162263,58177,64,5024,3248,330964,1521,789,177,37088,4592,3490,7466,32904,2791,28877,461,19195,2663,744,1725,6205,4194,1670,12276,50,1383,78394,299972,22842,22812,30,8187,713,8444,476,2365,221,1582
BOTOSANI,2020,310368,309867,87977,1962,6482,5133,480796,289,346,1822,65222,51538,5685,10517,140314,32446,33131,635,13191,3954,14699,2292,5812,5033,3148,8125,375,2693,152648,330087,9034,8940,94,10960,1153,7544,660,2926,80,1433
IASI,2020,242058,240272,121669,221,11725,3395,225986,1106,1051,1312,42318,102041,11972,10703,65521,8711,29799,1527,25890,6027,28531,3862,8256,10145,2880,14238,732,3282,31644,310628,59405,58008,1397,12601,1870,10657,1290,7691,17,1798
NEAMT,2020,166955,166953,57029,1601,17458,4716,267849,4140,662,283,68117,143219,11613,14605,31044,5341,16838,474,9053,2483,416,1578,3527,3931,1247,7524,236,1422,34516,285127,3087,3087,0,15379,666,8598,180,2365,8,1154
SUCEAVA,2020,187546,186804,76188,6165,9748,14275,160224,8388,620,909,432200,39871,30429,8001,11184,7141,62007,1283,15533,8560,943,3920,9648,9470,4478,23714,1343,2067,230401,694416,0,0,0,32234,2563,10080,38,1779,0,1895
VASLUI,2020,223735,221293,97958,605,6952,2524,152675,96,500,368,11586,2159,4425,14297,78239,1688,18039,277,11958,2295,8484,1383,4303,1483,1003,6088,309,1546,47789,124292,69581,67629,1952,7003,685,4377,550,2701,65,936
BRAILA,2020,346144,325099,135521,0,68232,1557,449505,272,4478,340,635,4525,0,9701,128021,40712,1671,28,4079,272,43173,962,5351,1540,65,2312,63,29,15878,287367,9073,9040,33,1192,276,3506,1061,990,90,657
BUZAU,2020,282792,279369,100942,0,15387,1889,224136,875,4539,329,11253,0,753,22900,69502,5632,17661,603,26535,2622,30897,1604,3895,1197,1708,6569,91,420,13363,150420,85747,81410,4337,14857,2132,38938,1089,2678,671,1956
CONSTANTA,2020,488275,448320,191497,15,75128,6697,92815,1054,11233,301,3519,0,0,41889,100194,2647,5056,0,7939,1249,1240,607,905,5880,397,5999,227,241,32139,36021,38409,35762,2647,677,227,6792,2191,903,1960,1291
GALATI,2020,261604,229983,71715,36,21124,951,124984,377,4656,275,8839,4109,0,13677,74597,7075,26317,1972,80548,48085,34332,9683,16113,7731,1658,12566,497,1840,16691,63041,44834,42939,1895,2558,499,3655,866,2308,173,743
TULCEA,2020,246808,225649,135764,257,35353,1285,59948,448,4055,576,10006,0,96,20091,59712,4106,13883,379,9784,1802,6529,1410,4346,1871,773,5813,467,1468,25601,57381,30607,29640,967,1526,318,431,109,137,21,39
VRANCEA,2020,120139,119775,31425,0,5177,4308,81659,0,280,372,18100,0,2280,1986,9576,54,16727,993,12604,1647,2709,2033,7522,3041,937,8888,114,991,75005,104625,170686,139312,31374,10808,680,27974,469,2654,91,2568
ILFOV,2020,62762,62621,60943,132,10289,579,45016,2497,719,89,3364,0,0,17197,20498,557,20004,3289,22389,3138,6202,5752,5688,2431,1310,3645,4438,610,21603,26913,4111,4109,2,448,164,623,377,629,107,19
BUCURESTI,2020,59,48,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,161,161,0,0,0,0,0,0,0,0,0,0
ARGES,2020,154781,154608,145592,0,7092,3115,154880,16997,435,88,24496,0,9098,4181,41022,312,15956,0,27337,1619,748,1751,3645,1119,437,8471,119,988,28572,92242,3242,3141,101,36549,6061,82962,1151,2766,120,2617
CALARASI,2020,386096,364092,233158,131,75295,504,363482,1061,5663,178,267,0,0,59831,62156,27185,2307,216,5529,1186,1905,919,708,922,463,2073,452,405,31914,138529,13778,13778,0,745,503,601,229,118,165,245
DAMBOVITA,2020,170609,170482,107571,0,26421,12680,236915,5567,2274,225,53512,0,576,6029,34528,1253,113585,2165,44819,8042,7517,8954,8911,15281,2213,15871,416,1162,50489,91225,1095,1083,12,55340,4354,42349,703,2370,216,1038
GIURGIU ,2020,259251,258853,325979,1667,101834,1322,211912,6764,4910,207,2436,0,0,52294,72560,10579,21946,2218,31843,4473,3599,6514,7028,913,1483,3892,1036,444,49852,317086,15092,14182,910,2225,954,3616,1174,1813,146,662
IALOMITA,2020,334309,314119,135832,4,25708,190,286356,480,4710,174,550,0,0,42181,77977,14856,13438,1514,9595,1999,58184,7914,19900,4397,780,4096,556,804,18612,109201,11413,11349,64,241,48,594,421,376,66,59
PRAHOVA,2020,150275,148846,93281,0,13962,1027,219598,1246,1034,49,46512,0,1902,17700,30977,4679,14611,202,13807,2444,212,1571,2355,2005,916,3688,334,816,42001,80241,41321,40335,986,18085,2430,61190,1176,3236,495,2303
TELEORMAN,2020,413814,413375,711853,0,112504,4111,309939,5845,14997,51,4094,0,0,52392,186789,1791,22663,1277,25640,3706,11200,3923,3957,1212,2617,11360,655,931,82330,100924,26306,26298,8,1354,376,4002,1040,735,281,602
DOLJ,2020,532183,531432,850526,5355,125574,7623,543546,22033,17677,269,7029,0,308,33345,259700,3164,45463,1204,42913,5465,143176,3906,7850,2308,3570,10540,895,1963,62848,182135,58323,57570,753,2035,1227,5634,939,2180,139,441
GORJ,2020,81735,81735,36871,0,1936,4966,241618,8031,321,254,31348,1,5254,0,450,0,17635,0,8478,2383,53,1770,2330,4924,778,9441,456,2723,308,66151,11128,11128,0,8359,1264,31642,1177,2097,198,1503
MEHEDINTI,2020,146337,146097,153741,991,17474,7413,284038,4395,7191,278,9104,0,380,13571,41168,1274,20021,715,7514,2210,18539,916,2269,1176,1775,8708,900,1221,1120,50396,28019,27613,406,22540,1895,35379,1335,3738,293,1607
OLT,2020,379262,378433,577310,0,54839,8934,329855,12145,8638,280,4596,0,0,18094,137922,2636,38369,2724,39142,8321,28904,8939,12675,2493,2657,7651,956,882,29454,116256,26829,26529,300,5467,765,39342,2857,2746,255,981
VALCEA,2020,67409,67409,32733,0,1561,3878,173424,1771,3,191,20120,3,5582,1727,3442,0,19300,296,11865,2586,100,2791,6620,2410,1001,7425,60,642,5670,73291,30774,29510,1264,36036,2906,85365,971,1815,137,2553
ARAD,2020,327212,327188,263001,25,50846,18498,605668,14140,2037,81,22918,2842,2634,41201,142875,5383,56780,5943,51361,12375,18715,7553,10958,11956,3119,16800,1588,2611,54528,227707,14955,14038,917,5642,567,8979,309,1224,541,1009
CARAS_SEVERIN,2020,67781,67781,55802,0,2094,1096,79977,6727,16,1,57101,0,49,6020,5869,3206,3990,22,4679,824,138,557,1090,2068,489,3008,222,249,12651,212901,4000,4000,0,13533,700,30118,272,1250,332,1218
HUNEDOARA,2020,53045,53040,34250,331,1713,1233,72045,2105,70,29,66834,1148,15163,765,623,2102,12565,651,6329,3131,9,1849,3186,3843,1767,6936,257,1767,48317,113142,0,0,0,9237,1116,27720,198,1098,218,1852
TIMIS,2020,342523,342022,502583,92,49139,7292,741715,19758,1465,227,18134,0,2664,76933,61716,33307,54355,8050,25702,8045,23839,4990,8209,11302,2363,13080,947,1506,63757,341888,24427,23334,1093,6574,804,16105,795,1599,1793,1028
BIHOR,2021,308475,307846,353051,2111,23608,11103,619076,8356,1053,427,21737,0,4590,51218,67694,12999,19272,4122,10065,4494,6118,4934,4328,4831,1121,3867,1167,2322,176526,605420,4187,3839,348,15817,1716,18360,1135,1483,3696,3733
BISTRITA_NASAUD,2021,49787,49762,14679,33,4714,2558,84033,3740,0,8,40934,441,2200,212,996,412,12240,85,4310,1030,0,1119,985,2551,813,3651,10,566,106313,216384,2012,1982,30,28517,1039,12515,10,1897,8,1262
CLUJ,2021,108345,107739,54540,641,33275,6597,242928,7653,436,755,36356,48847,1194,4833,13980,3043,25961,982,15906,8802,395,1664,2712,10491,1483,9836,578,4213,142862,236031,1846,1842,4,8087,1013,16493,238,680,77,758
MARAMURES,2021,56370,56370,13593,0,1376,3520,82909,4599,0,188,40098,6,5795,0,2009,50,7958,90,3342,1166,0,776,1218,1776,784,2124,0,501,26514,331848,1243,1243,0,48854,2005,16983,27,2962,94,3949
SATU_MARE,2021,249861,249710,199991,569,11537,14272,571767,30274,1276,230,19944,1,8203,65650,103683,27489,33022,4626,15437,7811,2423,7376,4804,4875,722,2507,626,1658,115288,174995,12580,12548,32,12314,1032,31393,457,3181,544,1782
SALAJ,2021,65981,65709,32199,0,5628,2573,131441,5538,1196,66,16032,0,2055,2509,9673,5252,10540,518,6612,3566,0,1018,3393,4846,1432,7787,294,1140,74354,118850,11444,11358,86,25109,1521,46938,469,1032,229,1819
ALBA,2021,115000,114145,61238,0,9199,657,277063,9680,270,20,45982,19218,3379,6767,19233,3398,18933,383,12208,5729,183,2517,3882,9461,2011,16486,651,1807,175527,439369,36344,36344,0,13850,1706,13135,589,1211,745,1708
BRASOV,2021,63478,63386,37068,1117,9893,755,67182,9375,421,1,66174,67173,3284,8202,533,6981,3809,25,950,187,0,32,24,1027,8,1857,0,161,121931,258501,0,0,0,11146,551,3921,123,287,2,80
COVASNA,2021,86189,86171,97039,2390,12413,1801,48106,7092,163,110,286509,69057,4969,5839,1322,1223,19337,0,1293,843,0,0,15,2353,36,12654,4,102,107760,203101,0,0,0,4491,170,3981,2,484,0,719
HARGHITA,2021,55224,55124,54764,1464,16701,2322,12567,8060,0,0,126823,5667,991,0,7,0,5709,0,391,27,0,0,48,2167,18,1702,12,7,77724,198055,0,0,0,4935,258,2922,0,248,1,227
MURES,2021,179265,179265,130831,375,22533,11955,472692,9954,419,215,16943,125359,4136,14693,20621,11981,23398,2187,17949,6755,3601,3513,7284,12255,1801,15754,5814,2390,242485,788631,4135,4135,0,28395,1052,10121,156,1996,115,1956
SIBIU,2021,62470,62441,26187,152,3589,760,151921,4688,60,7,19534,15359,2212,5437,3029,3363,17005,547,6925,4518,0,881,1762,5781,151,2071,225,836,92299,185147,496,496,0,9652,646,4174,16,282,53,256
BACAU,2021,160570,160541,97889,450,6464,2959,410146,2923,359,233,8320,5968,5593,7017,46301,2508,25783,659,18771,3585,1354,1889,8619,4783,1652,12782,40,1364,50544,318238,23306,23263,43,9252,920,8523,468,1912,213,1703
BOTOSANI,2021,275452,275217,152326,4371,11255,8361,740031,1516,3075,1927,13525,55350,6773,22292,115643,43011,27807,2017,16215,5824,16151,3464,6710,5369,3749,8774,441,2923,197214,313738,9521,9423,98,12820,1156,7812,643,2914,81,1482
IASI,2021,269214,268723,225452,793,21828,5715,633817,5699,1634,1357,9382,165926,16464,21855,101669,11050,30845,3695,39472,12420,25190,7287,15523,14751,3634,24539,872,4242,76087,330562,78153,76800,1353,17548,2047,12504,1783,10350,22,1873
NEAMT,2021,153706,153706,108192,1779,23433,6231,381875,9030,493,296,20823,140653,7036,17031,46732,5663,16556,974,13817,4318,1557,1886,5600,4458,1313,9588,429,1827,42134,298334,3087,3087,0,14145,706,8574,180,2343,9,1186
SUCEAVA,2021,177580,177571,83648,7111,13248,15469,201601,6804,648,858,284238,43191,33245,7162,14910,6260,65069,1278,17906,7897,963,3738,9738,12435,4906,24599,952,2085,166219,702678,0,0,0,49224,3838,9920,38,1675,0,1827
VASLUI,2021,246623,246579,268673,0,18849,4619,462847,508,2629,609,878,4553,1074,24672,105193,1934,17069,279,12129,2420,9547,1355,4310,1425,1094,6997,284,1630,43258,151484,72837,71161,1676,5004,705,5746,585,3277,75,1177
BRAILA,2021,317087,312391,359182,0,113815,470,852229,670,6420,224,1273,643,78,16018,146002,52048,1601,57,5154,609,10320,1434,5627,1267,74,2222,52,32,11168,707646,10058,10026,32,559,263,3400,1279,1070,132,673
BUZAU,2021,283439,283414,315402,282,47359,2273,663972,1636,12050,462,4192,0,699,45234,123497,4680,19430,500,26482,3771,82992,2102,4065,1340,1865,6383,155,515,29801,206510,103291,98626,4665,20743,2230,48047,1159,2827,722,2575
CONSTANTA,2021,445674,444601,836548,224,416660,7376,263397,455,22545,232,670,0,0,101026,246515,737,4296,0,9156,1245,1077,528,883,7576,436,7158,191,668,80682,69079,45768,42330,3438,670,223,6547,2342,1095,2104,1434
GALATI,2021,419770,418898,408811,62,106607,1424,1510470,6209,10874,369,4859,3837,4,32216,213758,11233,28614,1739,79620,49039,19061,10414,15873,10673,1693,11430,798,1991,17800,109847,55782,53879,1903,3045,500,3714,802,2378,188,753
TULCEA,2021,210568,208242,363564,1063,84700,672,152351,2322,8667,102,1340,0,0,24718,109343,10347,16898,204,10682,1186,4911,1725,3932,1483,790,6107,588,973,6113,96079,30658,29813,845,1321,319,428,113,174,22,46
VRANCEA,2021,94437,94437,116395,0,13882,10048,165954,114,13,611,1718,11909,2742,3332,15139,103,15501,997,13226,1844,3157,2086,6971,3033,712,8574,46,954,135780,132147,189176,157724,31452,11111,679,30074,395,2748,105,2718
ILFOV,2021,73820,73669,118042,174,14927,525,87554,4026,1109,81,138,0,0,31975,24119,238,22319,4797,27983,5850,9083,8052,7391,3644,1488,5588,4425,900,24071,29542,2747,2741,6,506,196,684,375,819,92,39
BUCURESTI,2021,73,54,0,0,0,0,0,0,0,0,0,0,19,0,5,0,0,0,18,2,0,1,2,0,0,0,0,0,234,229,0,0,0,1,0,0,0,0,0,0
ARGES,2021,153018,152866,221375,0,8004,4213,201452,14196,1077,42,14526,0,7371,10984,46947,122,17508,0,27594,1895,1098,1834,3636,1294,802,9021,353,1172,33513,101355,3198,3106,92,42925,5936,77624,1150,2680,113,2676
CALARASI,2021,403411,401267,665414,54,166211,1223,941407,824,9157,58,53,0,0,183386,108682,37331,2232,85,5371,1087,2306,998,749,934,679,2416,436,421,25016,138383,10661,10654,7,796,500,638,227,107,162,224
DAMBOVITA,2021,148360,148200,105996,0,25398,8537,227232,3862,2381,161,19591,0,970,6352,33601,9,91587,2390,37924,9272,6178,8878,15303,15400,2272,16152,453,1242,45766,92829,1427,1414,13,64079,4484,48821,684,2463,343,1216
GIURGIU ,2021,239286,239283,423198,2884,113492,987,218929,2373,3491,254,131,0,0,79508,53407,9251,14737,589,27378,4442,3439,6401,5549,436,1519,4200,797,281,53590,190708,9981,9386,595,2193,954,3780,1134,1884,151,664
IALOMITA,2021,366403,365765,548544,13,105863,3465,959009,1087,7887,207,11,0,0,130420,154710,16492,17747,740,15188,2013,35506,9429,21751,1839,810,3912,399,751,18153,147053,9859,9816,43,176,47,613,260,279,16,65
PRAHOVA,2021,136384,135948,159230,0,24187,922,243413,2321,872,116,2608,0,1747,38018,38240,2936,17425,823,17962,4578,424,2021,4029,5008,1233,6517,563,1463,28763,86098,45442,44708,734,19565,2443,61322,1254,2982,490,2132
TELEORMAN,2021,385822,385495,776283,90,115120,3706,288776,2274,11406,144,1577,0,0,98062,179998,153,14308,922,26728,3736,8783,3895,4130,1116,2869,13094,715,772,74476,98310,17875,17869,6,1305,377,4084,1015,759,270,660
DOLJ,2021,484101,481203,945187,5060,140096,10747,373749,20939,24611,138,14441,0,66,46858,263712,3492,45652,2377,61624,8167,55684,6292,14418,2136,3668,10632,768,2008,33563,197925,62561,61828,733,2054,1132,11211,1037,2300,149,457
GORJ,2021,79018,79016,42512,0,1927,5984,192777,8277,348,291,2248,0,5331,0,481,0,17586,0,7792,2393,85,1797,2340,4893,761,9337,447,2772,160,70828,14716,14716,0,8363,1298,33040,1184,2120,204,1633
MEHEDINTI,2021,152512,152416,193018,771,32597,7235,150333,5961,6909,357,7310,0,401,20185,47412,405,20184,259,11362,4203,25982,1554,4356,2484,1685,9396,1162,1442,6174,57634,25782,25439,343,22944,1949,35479,1357,3779,298,1400
OLT,2021,351314,337371,653954,34,85043,10297,228346,6717,14509,376,1152,0,0,54845,222337,2059,36014,669,39612,11490,22710,11075,15900,3519,2855,11591,1159,1198,11006,84831,33804,33493,311,5829,763,43756,2868,2734,294,1009
VALCEA,2021,66233,65923,34199,67,1520,4922,170798,4658,217,242,13009,0,5511,146,2778,3,19070,217,12335,2502,221,2264,5646,2614,992,6730,57,652,5984,93497,33092,31960,1132,36922,2848,81857,1030,1814,139,2741
ARAD,2021,282368,282366,416414,596,36393,13073,471629,8644,1207,79,6893,0,800,69426,60197,13510,50704,6147,45397,12089,10542,8866,11872,9713,2774,14928,1541,2610,79287,262300,12913,12145,768,7706,606,9065,308,1371,496,1296
CARAS_SEVERIN,2021,65024,65024,66956,0,4620,1145,81263,6733,0,0,25902,0,0,10968,8269,4435,4250,23,4120,874,0,553,1332,1877,496,3104,230,400,10922,183499,2774,2774,0,13996,789,37357,272,1262,330,1370
HUNEDOARA,2021,50181,50128,35369,371,1888,1569,87090,3891,63,101,20467,376,7294,1793,1487,660,12586,650,7937,2923,15,1838,3244,3810,1733,7411,284,1776,47063,125159,0,0,0,9485,1191,27716,195,1143,231,1933
TIMIS,2021,371935,370392,616798,0,71178,6805,696561,15529,1476,73,14769,0,3806,104208,69667,30675,49399,3345,19034,6068,11146,6004,8781,11546,1667,13735,487,1244,59401,424577,26431,25285,1146,7176,784,16086,747,1588,1608,1085
BIHOR,2022,300705,300031,320820,2010,21931,9601,284432,5896,897,315,17481,0,0,45295,50183,8630,14687,2733,7927,3573,1620,2906,3207,3516,893,3361,780,1898,148621,494927,5893,5602,291,13096,1323,22396,983,1238,2872,7197
BISTRITA_NASAUD,2022,48795,48795,14824,32,5405,2309,82175,3804,0,7,36950,0,242,266,1150,494,11141,0,3008,876,0,1025,756,2077,742,2768,8,561,83605,172376,2413,2399,14,22789,951,7613,9,1580,6,1135
CLUJ,2022,107432,106443,52649,353,29838,5683,172859,7275,654,608,26602,492,0,5535,13515,2926,20210,979,13808,3872,281,1206,2389,8226,1229,7459,264,2225,112169,224123,1705,1705,0,8604,887,14559,214,686,65,714
MARAMURES,2022,55228,55223,13856,0,1312,2920,65611,4283,0,153,29585,6,27,0,1848,22,6782,77,2299,952,0,575,1067,1549,641,1724,0,430,14499,297696,1238,1238,0,43655,1479,14917,23,2392,85,3831
SATU_MARE,2022,229358,229026,174731,677,11070,12450,223230,23316,971,144,11888,5,0,57033,66552,14883,21317,1970,9559,5200,1881,4672,2658,3295,631,2138,1069,1415,43246,139537,9805,9777,28,8745,910,26273,381,2720,483,1700
SALAJ,2022,64815,64417,33460,609,3852,2569,88524,5276,530,40,11734,0,0,3792,6693,3207,7037,490,3200,1630,0,746,2616,2851,802,4030,91,790,57858,109044,7438,7366,72,18845,1282,37524,364,841,188,1592
ALBA,2022,116614,116498,58894,0,8668,662,167494,7239,629,17,26030,234,13793,7379,18118,1412,20118,266,11384,4252,78,2184,3110,8017,1661,11395,60,1328,115515,387331,34200,34200,0,11957,1548,11929,503,999,684,1611
BRASOV,2022,55758,55599,35565,965,8014,1032,56737,6778,676,0,52920,20685,19,8353,1220,8457,3066,22,573,115,0,0,21,709,7,1507,18,103,87322,180911,0,0,0,6036,446,3167,107,215,1,69
COVASNA,2022,82737,82719,88342,2128,10106,1550,45206,6937,235,32,272492,35771,6479,5972,1036,1576,10623,0,676,226,0,0,15,1974,29,7227,3,88,87397,169071,0,0,0,4172,136,3433,1,386,0,657
HARGHITA,2022,51824,51782,51181,6762,15616,1858,10599,2494,0,0,119639,2501,20,0,10,0,4895,0,280,13,0,3,48,1571,15,1252,10,6,60110,167352,0,0,0,4260,238,2433,0,215,1,202
MURES,2022,176616,176613,118871,476,22518,11656,465050,8512,327,201,30864,14965,0,13396,27834,7000,15038,1571,10320,4065,1208,2654,4167,9743,1289,10046,4105,1183,219347,688840,3540,3540,0,27613,1116,8864,135,1708,97,1764
SIBIU,2022,62318,58975,24541,214,2328,843,125709,3863,39,7,8908,150,1,2547,5022,2189,10490,472,2548,1863,0,482,1101,2248,123,1647,83,439,77156,195840,546,546,0,5375,251,3570,12,222,45,231
BACAU,2022,154363,154251,53507,316,6049,2092,247433,2305,300,179,19877,4192,5,6518,28184,1110,14963,3,11564,1986,691,1497,5482,3446,1336,8458,38,1183,28199,252674,21484,21456,28,6485,1113,7510,411,1580,186,1590
BOTOSANI,2022,288829,288137,115074,3436,9774,6912,377572,410,1727,1114,7921,37762,2857,17591,78670,24548,16919,0,10196,3391,8621,2372,5162,4017,3465,6736,401,1513,165952,239953,6130,5987,143,11134,957,6413,559,2446,65,1384
IASI,2022,258393,254873,107631,283,11684,2449,172735,2590,1542,710,8788,51491,18,18955,60539,6200,15084,1260,17087,8026,17300,5484,7688,11762,1496,12726,633,2595,54241,237457,40217,39559,658,14143,1512,10637,1510,8591,16,1650
NEAMT,2022,152016,151817,87843,1174,17161,4663,244350,5230,620,174,22685,81740,1568,18097,38654,4209,9181,0,7142,2755,535,1474,3397,3505,997,7295,43,1220,35489,227060,1865,1865,0,12541,599,7247,162,1949,8,1098
SUCEAVA,2022,181023,181023,71691,6165,14697,9262,247382,6099,763,562,354371,25204,30309,4676,20770,4499,59027,1070,15224,6799,1400,3181,8146,12026,3775,20975,287,1537,134254,694808,0,0,0,55856,2883,9625,49,2205,17,1551
VASLUI,2022,241831,240124,171259,2,14520,3023,146966,305,1333,213,626,1244,0,13941,56328,1534,13723,0,10899,1681,7576,1136,3348,1221,1017,6016,300,1226,37918,116450,51142,49830,1312,4351,620,3259,806,2766,64,938
BRAILA,2022,319590,312676,267758,4,89345,634,547948,449,3175,174,550,0,0,14157,116793,47575,1292,35,3550,235,5246,968,5122,1193,48,2090,57,40,7674,867391,10530,10496,34,548,281,3001,1035,828,194,654
BUZAU,2022,255604,117627,109153,45,22579,476,25574,1090,1372,89,8644,0,0,32390,48134,2675,9693,0,37028,2025,17585,2840,2531,1413,2528,8222,57,495,36616,147030,79127,76069,3058,16809,1931,39962,1009,2169,612,2028
CONSTANTA,2022,443347,442260,811647,84,383403,9845,223205,717,16591,143,20,0,0,90544,176232,1320,3276,0,6496,828,889,482,715,6512,364,4272,121,657,57168,53929,41925,38807,3118,587,197,5632,2263,911,2093,1335
GALATI,2022,292316,271424,116263,3,41243,499,249362,1036,4584,92,2564,2868,1324,8863,60691,6166,21713,1087,47239,40714,8078,6747,12734,8134,1296,8995,200,1232,8365,68041,43956,42351,1605,2650,460,3399,693,2475,165,712
TULCEA,2022,205304,200500,246493,207,52881,750,100710,3186,2944,34,698,0,0,20924,76134,7694,13506,0,7058,1051,3093,1425,3158,1331,686,5333,514,725,1402,71841,27312,26521,791,1185,274,384,146,179,35,39
VRANCEA,2022,108503,87615,36249,195,3444,4129,34966,12,7,466,1933,1820,1971,1999,8876,28,9544,0,7239,1163,1730,1623,5602,2039,539,7225,0,799,113541,83500,167313,141658,25655,9864,546,27248,328,2274,93,2586
ILFOV,2022,61893,61460,83904,5,11829,321,37877,2090,1787,108,0,0,0,28479,23661,33,12207,3180,15079,3679,29,4278,5371,1278,1098,3356,3819,700,17180,7900,2724,2721,3,346,192,536,343,637,69,32
BUCURESTI,2022,62,53,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,38,5,0,2,4,0,0,0,0,0,141,445,0,0,0,3,2,1,1,3,0,1
ARGES,2022,152773,152722,190039,0,5594,2891,185339,8293,845,44,10982,0,0,16262,57192,9,15744,0,22695,1382,0,1552,2208,1000,767,7472,206,844,18748,71998,2607,2531,76,38186,5674,69183,1042,2327,100,2463
CALARASI,2022,408289,404795,609747,106,173033,7328,473217,300,11110,20,0,0,0,125669,108944,22745,1599,0,4055,1059,1473,747,666,311,558,1614,326,384,20938,121640,9590,9381,209,729,444,598,208,113,153,216
DAMBOVITA,2022,150456,150323,117352,0,32171,7816,204791,2658,1954,98,19794,0,0,11751,41338,37,95570,2249,34641,7253,4220,8072,12845,14911,2125,14877,470,1059,34918,79380,1290,1290,0,88711,4446,38348,631,2074,310,1095
GIURGIU ,2022,232728,232706,394260,240,105747,3283,220594,1996,3641,165,0,0,0,82929,61787,4483,11553,518,19061,3154,2331,4596,4641,321,1380,3321,775,217,43297,143185,8643,8104,539,1981,840,3489,974,1673,136,647
IALOMITA,2022,362721,361885,460478,0,76861,245,538779,324,5327,56,304,0,0,105937,145958,21019,10199,411,12904,1167,16043,7243,15931,1456,737,3023,92,734,7014,92424,4071,4049,22,160,67,504,227,272,12,60
PRAHOVA,2022,139294,138945,146429,0,21975,797,177585,1234,438,68,9304,0,1445,41930,35722,2233,13500,411,11701,2762,88,1418,2629,2466,882,3959,405,1068,24605,68926,33637,32861,776,18263,1922,44152,1087,2287,457,2023
TELEORMAN,2022,397830,397481,699248,346,114645,3390,163881,1622,7588,107,583,0,0,122864,173934,137,11229,776,11901,2704,4788,2551,3710,900,2807,10175,229,545,70126,107000,15549,15548,1,1253,321,3422,833,711,185,636
DOLJ,2022,476745,474607,782903,4861,118587,6416,296497,15769,15093,189,6179,0,46,40775,206560,5336,24364,0,36136,3481,35943,2639,9310,1507,3175,5255,224,965,29996,165032,44191,43610,581,1287,802,8942,912,2121,137,434
GORJ,2022,75640,75637,42209,0,1645,5283,217680,8171,262,126,1474,0,0,0,567,6,8700,0,3780,1045,0,1386,1897,3210,658,5634,218,1655,0,38422,14255,14255,0,7217,1139,29016,1046,1778,180,1525
MEHEDINTI,2022,149274,149274,180006,870,29393,6510,146363,5072,6378,381,3970,0,0,16325,42026,319,13156,0,6255,2451,10671,1200,2632,1483,1391,6445,597,812,6231,51268,19297,19003,294,14939,1684,25291,1009,2951,248,1267
OLT,2022,319910,319504,567052,329,83492,9423,206792,5912,12541,229,558,0,0,58750,141985,2718,24258,577,25541,6165,8375,8177,12718,1844,2513,9867,525,845,10061,76280,30342,30120,222,4852,646,35165,2439,2296,236,976
VALCEA,2022,62741,62699,25812,0,2563,3666,149291,1781,418,201,2774,0,10,428,2237,0,12242,120,7841,1070,0,1867,4354,1568,797,5820,0,553,7385,65041,26092,25227,865,29196,2234,59822,838,1546,119,2653
ARAD,2022,255137,254346,362768,327,39707,8099,227256,9073,664,80,5832,5,0,41859,34574,3964,43842,0,30917,10746,7365,7719,9188,7163,2382,11654,605,1672,29763,186183,11351,10586,765,7458,470,8109,286,810,462,1015
CARAS_SEVERIN,2022,63887,63625,64877,0,7797,1128,65393,3737,0,0,18495,0,0,15013,3593,2690,3232,0,2942,696,0,386,1186,1630,485,2515,110,336,5305,157942,2542,2542,0,11878,648,32325,223,1089,266,1214
HUNEDOARA,2022,48902,48820,32449,500,2891,1340,72731,2887,32,83,15790,196,110,1711,1073,364,9925,583,5720,2047,1,1487,2056,2871,1352,4816,248,1271,51410,100657,0,0,0,8470,1040,22210,171,907,228,1803
TIMIS,2022,394288,392500,742402,1127,71282,5800,247239,12384,2589,16,10061,0,46,120627,62236,19878,45059,3128,11944,4405,9216,4670,7315,8713,1519,10383,677,1180,117731,410543,24168,23118,1050,5694,719,14913,668,1407,1454,1004